        Date        , GPU Clock [MHz] , Memory Clock [MHz] , UVD Clock [MHz] , UVD Clock [MHz] , GPU Temperature [°C] , GPU Temperature (Hot Spot) [°C] , Memory Temperature [°C] , GPU VRM Temperature [°C] , Mem1 VRM Temperature [°C] , Mem2 VRM Temperature [°C] , Fan Speed (%) [%] , Fan Speed (RPM) [RPM] , GPU Load [%] , Memory Controller Load [%] , Memory Used (Dedicated) [MB] , Memory Used (Dynamic) [MB] , GPU Chip Power Draw [W] , GPU Voltage [V] , Memory Voltage [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2020-03-16 17:13:43 ,         789.0   ,            200.0   ,         105.0   ,         102.0   ,               49.0   ,                          49.0   ,                  50.0   ,                   47.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        0   ,                        646   ,                       94   ,                   8.0   ,         0.725   ,            0.675   ,               35.8   ,                  5916   ,
2020-03-16 17:13:44 ,         789.0   ,            200.0   ,         105.0   ,         102.0   ,               49.0   ,                          49.0   ,                  50.0   ,                   47.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        0   ,                        646   ,                       94   ,                   8.0   ,         0.725   ,            0.675   ,               35.8   ,                  5924   ,
2020-03-16 17:13:45 ,         789.0   ,            200.0   ,         105.0   ,         102.0   ,               49.0   ,                          49.0   ,                  50.0   ,                   47.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        0   ,                        646   ,                       94   ,                   8.0   ,         0.725   ,            0.675   ,               35.8   ,                  5923   ,
2020-03-16 17:13:46 ,         789.0   ,            200.0   ,         105.0   ,         102.0   ,               49.0   ,                          49.0   ,                  48.0   ,                   47.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        0   ,                        646   ,                       94   ,                   8.0   ,         0.725   ,            0.675   ,               35.8   ,                  5908   ,
2020-03-16 17:13:47 ,         827.0   ,            200.0   ,         105.0   ,         102.0   ,               50.0   ,                          49.0   ,                  50.0   ,                   47.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        0   ,                        646   ,                       94   ,                   8.0   ,         0.725   ,            0.675   ,               35.9   ,                  5902   ,
2020-03-16 17:13:48 ,         825.0   ,            200.0   ,         105.0   ,         102.0   ,               50.0   ,                          49.0   ,                  50.0   ,                   47.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        0   ,                        646   ,                       94   ,                   8.0   ,         0.725   ,            0.675   ,               35.9   ,                  5901   ,
2020-03-16 17:13:49 ,         866.0   ,            200.0   ,         105.0   ,         102.0   ,               50.0   ,                          49.0   ,                  50.0   ,                   47.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        0   ,                        646   ,                       94   ,                   8.0   ,         0.725   ,            0.675   ,               36.4   ,                  5935   ,
2020-03-16 17:13:50 ,         953.0   ,            200.0   ,         105.0   ,         102.0   ,               49.0   ,                          49.0   ,                  50.0   ,                   47.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        0   ,                        646   ,                       94   ,                   8.0   ,         0.725   ,            0.675   ,               36.9   ,                  5914   ,
2020-03-16 17:13:51 ,         789.0   ,            200.0   ,         105.0   ,         102.0   ,               49.0   ,                          49.0   ,                  50.0   ,                   47.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        0   ,                        646   ,                       94   ,                   8.0   ,         0.725   ,            0.675   ,               36.8   ,                  5915   ,
2020-03-16 17:13:52 ,         813.0   ,            200.0   ,         105.0   ,         102.0   ,               49.0   ,                          49.0   ,                  50.0   ,                   46.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        0   ,                        646   ,                       94   ,                   8.0   ,         0.725   ,            0.675   ,               36.5   ,                  5904   ,
2020-03-16 17:13:53 ,         810.0   ,            200.0   ,         105.0   ,         102.0   ,               49.0   ,                          49.0   ,                  50.0   ,                   46.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        0   ,                        646   ,                       94   ,                   8.0   ,         0.725   ,            0.675   ,               36.4   ,                  5899   ,
2020-03-16 17:13:54 ,         840.0   ,            200.0   ,         105.0   ,         102.0   ,               49.0   ,                          49.0   ,                  50.0   ,                   46.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        0   ,                        655   ,                       94   ,                   8.0   ,         0.725   ,            0.675   ,               35.4   ,                  5984   ,
2020-03-16 17:13:55 ,        1140.0   ,            994.0   ,         105.0   ,         102.0   ,               50.0   ,                          50.0   ,                  50.0   ,                   46.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,         10   ,                        1   ,                        680   ,                       98   ,                  28.0   ,         0.725   ,            0.850   ,               36.8   ,                  6179   ,
2020-03-16 17:13:56 ,         788.0   ,            200.0   ,         105.0   ,         102.0   ,               49.0   ,                          49.0   ,                  50.0   ,                   46.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        0   ,                        715   ,                      100   ,                   8.0   ,         0.725   ,            0.675   ,               36.9   ,                  6233   ,
2020-03-16 17:13:57 ,         868.0   ,            200.0   ,         105.0   ,         102.0   ,               50.0   ,                          50.0   ,                  50.0   ,                   46.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          1   ,                        0   ,                        718   ,                      100   ,                  10.0   ,         0.725   ,            0.675   ,               36.8   ,                  6264   ,
2020-03-16 17:13:58 ,         938.0   ,            200.0   ,         105.0   ,         102.0   ,               49.0   ,                          49.0   ,                  50.0   ,                   46.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          2   ,                        1   ,                        724   ,                      100   ,                  11.0   ,         0.725   ,            0.675   ,               36.6   ,                  6309   ,
2020-03-16 17:13:59 ,         954.0   ,            200.0   ,         105.0   ,         102.0   ,               50.0   ,                          50.0   ,                  50.0   ,                   46.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          6   ,                        0   ,                        726   ,                      100   ,                  11.0   ,         0.725   ,            0.675   ,               37.0   ,                  6396   ,
2020-03-16 17:14:00 ,         896.0   ,            200.0   ,         105.0   ,         102.0   ,               49.0   ,                          50.0   ,                  50.0   ,                   46.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          3   ,                        1   ,                        728   ,                      101   ,                  11.0   ,         0.725   ,            0.675   ,               36.6   ,                  6393   ,
2020-03-16 17:14:01 ,        1011.0   ,            476.0   ,         105.0   ,         102.0   ,               49.0   ,                          50.0   ,                  50.0   ,                   46.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          5   ,                        1   ,                        736   ,                      102   ,                  14.0   ,         0.725   ,            0.850   ,               36.4   ,                  6625   ,
2020-03-16 17:14:02 ,        1024.0   ,            200.0   ,         105.0   ,         102.0   ,               49.0   ,                          49.0   ,                  50.0   ,                   46.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          8   ,                        2   ,                        895   ,                      104   ,                  14.0   ,         0.725   ,            0.675   ,               36.5   ,                  6739   ,
2020-03-16 17:14:03 ,        2020.0   ,            200.0   ,         105.0   ,         102.0   ,               51.0   ,                          59.0   ,                  50.0   ,                   46.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,         63   ,                        4   ,                        899   ,                      104   ,                  49.0   ,         1.200   ,            0.675   ,               37.3   ,                  6800   ,
2020-03-16 17:14:04 ,         828.0   ,            200.0   ,         105.0   ,         102.0   ,               49.0   ,                          49.0   ,                  50.0   ,                   46.0   ,                     0.0   ,                     0.0   ,              29   ,                1240   ,          0   ,                        1   ,                        921   ,                      106   ,                   9.0   ,         0.725   ,            0.675   ,               37.0   ,                  6851   ,
2020-03-16 17:14:05 ,        1035.0   ,            200.0   ,         105.0   ,         102.0   ,               50.0   ,                          51.0   ,                  50.0   ,                   46.0   ,                     0.0   ,                     0.0   ,              26   ,                1109   ,          9   ,                        1   ,                        924   ,                      108   ,                  15.0   ,         0.725   ,            0.675   ,               36.5   ,                  6865   ,
